	file_name	dir_type	file_type	genus	species	scientific_name	scientific_name_abbrev	identifier	genotype	compressed	invalid_key	invalid_val	about_dir	annotation_dir	applies_to	ann	bac	div	expr	esm	fam	genefam	gnm	map	met	mrk	rpt	samplesetN	syn	tcp	trt
0	MANIFEST.SBGP.descriptions.yml	genome	descriptions	Cajanus	cajan	Cajanus cajan	cajca	SBGP	ICPL87119	False													1								
1	CHECKSUM.SBGP.md5	genome	checksum	Cajanus	cajan	Cajanus cajan	cajca	SBGP	ICPL87119	False													1								
2	MANIFEST.SBGP.correspondence.yml	genome	correspondence	Cajanus	cajan	Cajanus cajan	cajca	SBGP	ICPL87119	False													1								
3	cajca.ICPL87119.gnm1.SBGP.agp.txt.gz	genome	unrecognized	Cajanus	cajan	Cajanus cajan	cajca	SBGP	ICPL87119	True													1								
4	cajca.ICPL87119.gnm1.SBGP.genome_main.fna.gz	genome	genome	Cajanus	cajan	Cajanus cajan	cajca	SBGP	ICPL87119	True													1								
5	README.SBGP.yml	genome	readme	Cajanus	cajan	Cajanus cajan	cajca	SBGP	ICPL87119	False													1								
